k,trees,depth,ands,ors
1,10,10,2,1
1,10,10,4,1
1,10,10,6,1
1,10,10,8,1
1,10,10,10,1
1,10,20,2,1
1,10,20,4,1
1,10,20,6,1
1,10,20,8,1
1,10,20,10,1
1,10,30,2,1
1,10,30,4,1
1,10,30,6,1
1,10,30,8,1
1,10,30,10,1
1,25,10,2,1
1,25,10,4,1
1,25,10,6,1
1,25,10,8,1
1,25,10,10,1
1,25,20,2,1
1,25,20,4,1
1,25,20,6,1
1,25,20,8,1
1,25,20,10,1
1,25,30,2,1
1,25,30,4,1
1,25,30,6,1
1,25,30,8,1
1,25,30,10,1
1,50,10,2,1
1,50,10,4,1
1,50,10,6,1
1,50,10,8,1
1,50,10,10,1
1,50,20,2,1
1,50,20,4,1
1,50,20,6,1
1,50,20,8,1
1,50,20,10,1
1,50,30,2,1
1,50,30,4,1
1,50,30,6,1
1,50,30,8,1
1,50,30,10,1
2,10,10,2,1
2,10,10,4,1
2,10,10,6,1
2,10,10,8,1
2,10,10,10,1
2,10,20,2,1
2,10,20,4,1
2,10,20,6,1
2,10,20,8,1
2,10,20,10,1
2,10,30,2,1
2,10,30,4,1
2,10,30,6,1
2,10,30,8,1
2,10,30,10,1
2,25,10,2,1
2,25,10,4,1
2,25,10,6,1
2,25,10,8,1
2,25,10,10,1
2,25,20,2,1
2,25,20,4,1
2,25,20,6,1
2,25,20,8,1
2,25,20,10,1
2,25,30,2,1
2,25,30,4,1
2,25,30,6,1
2,25,30,8,1
2,25,30,10,1
2,50,10,2,1
2,50,10,4,1
2,50,10,6,1
2,50,10,8,1
2,50,10,10,1
2,50,20,2,1
2,50,20,4,1
2,50,20,6,1
2,50,20,8,1
2,50,20,10,1
2,50,30,2,1
2,50,30,4,1
2,50,30,6,1
2,50,30,8,1
2,50,30,10,1
3,10,10,2,1
3,10,10,4,1
3,10,10,6,1
3,10,10,8,1
3,10,10,10,1
3,10,20,2,1
3,10,20,4,1
3,10,20,6,1
3,10,20,8,1
3,10,20,10,1
3,10,30,2,1
3,10,30,4,1
3,10,30,6,1
3,10,30,8,1
3,10,30,10,1
3,25,10,2,1
3,25,10,4,1
3,25,10,6,1
3,25,10,8,1
3,25,10,10,1
3,25,20,2,1
3,25,20,4,1
3,25,20,6,1
3,25,20,8,1
3,25,20,10,1
3,25,30,2,1
3,25,30,4,1
3,25,30,6,1
3,25,30,8,1
3,25,30,10,1
3,50,10,2,1
3,50,10,4,1
3,50,10,6,1
3,50,10,8,1
3,50,10,10,1
3,50,20,2,1
3,50,20,4,1
3,50,20,6,1
3,50,20,8,1
3,50,20,10,1
3,50,30,2,1
3,50,30,4,1
3,50,30,6,1
3,50,30,8,1
3,50,30,10,1
4,10,10,2,1
4,10,10,4,1
4,10,10,6,1
4,10,10,8,1
4,10,10,10,1
4,10,20,2,1
4,10,20,4,1
4,10,20,6,1
4,10,20,8,1
4,10,20,10,1
4,10,30,2,1
4,10,30,4,1
4,10,30,6,1
4,10,30,8,1
4,10,30,10,1
4,25,10,2,1
4,25,10,4,1
4,25,10,6,1
4,25,10,8,1
4,25,10,10,1
4,25,20,2,1
4,25,20,4,1
4,25,20,6,1
4,25,20,8,1
4,25,20,10,1
4,25,30,2,1
4,25,30,4,1
4,25,30,6,1
4,25,30,8,1
4,25,30,10,1
4,50,10,2,1
4,50,10,4,1
4,50,10,6,1
4,50,10,8,1
4,50,10,10,1
4,50,20,2,1
4,50,20,4,1
4,50,20,6,1
4,50,20,8,1
4,50,20,10,1
4,50,30,2,1
4,50,30,4,1
4,50,30,6,1
4,50,30,8,1
4,50,30,10,1
5,10,10,2,1
5,10,10,4,1
5,10,10,6,1
5,10,10,8,1
5,10,10,10,1
5,10,20,2,1
5,10,20,4,1
5,10,20,6,1
5,10,20,8,1
5,10,20,10,1
5,10,30,2,1
5,10,30,4,1
5,10,30,6,1
5,10,30,8,1
5,10,30,10,1
5,25,10,2,1
5,25,10,4,1
5,25,10,6,1
5,25,10,8,1
5,25,10,10,1
5,25,20,2,1
5,25,20,4,1
5,25,20,6,1
5,25,20,8,1
5,25,20,10,1
5,25,30,2,1
5,25,30,4,1
5,25,30,6,1
5,25,30,8,1
5,25,30,10,1
5,50,10,2,1
5,50,10,4,1
5,50,10,6,1
5,50,10,8,1
5,50,10,10,1
5,50,20,2,1
5,50,20,4,1
5,50,20,6,1
5,50,20,8,1
5,50,20,10,1
5,50,30,2,1
5,50,30,4,1
5,50,30,6,1
5,50,30,8,1
5,50,30,10,1
