file,instanceSelection,lshMEthod,isMethod,ands,ors,type,precision
fraudkAllResults.csv,IS,hyperplanes,drop3,2,1,Test,90
fraudkAllResults.csv,IS,hyperplanes,drop3,2,1,Train,90
fraudkAllResults.csv,IS,hyperplanes,drop3,4,1,Test,90
fraudkAllResults.csv,IS,hyperplanes,drop3,4,1,Train,90
fraudkAllResults.csv,IS,hyperplanes,drop3,6,1,Test,102
fraudkAllResults.csv,IS,hyperplanes,drop3,6,1,Train,102
fraudkAllResults.csv,IS,hyperplanes,drop3,8,1,Test,121
fraudkAllResults.csv,IS,hyperplanes,drop3,8,1,Train,121
fraudkAllResults.csv,IS,hyperplanes,drop3,10,1,Test,93
fraudkAllResults.csv,IS,hyperplanes,drop3,10,1,Train,93
fraudkAllResults.csv,IS,hyperplanes,entropy,2,1,Test,90
fraudkAllResults.csv,IS,hyperplanes,entropy,2,1,Train,90
fraudkAllResults.csv,IS,hyperplanes,entropy,4,1,Test,90
fraudkAllResults.csv,IS,hyperplanes,entropy,4,1,Train,90
fraudkAllResults.csv,IS,hyperplanes,entropy,6,1,Test,90
fraudkAllResults.csv,IS,hyperplanes,entropy,6,1,Train,90
fraudkAllResults.csv,IS,hyperplanes,entropy,8,1,Test,90
fraudkAllResults.csv,IS,hyperplanes,entropy,8,1,Train,90
fraudkAllResults.csv,IS,hyperplanes,entropy,10,1,Test,90
fraudkAllResults.csv,IS,hyperplanes,entropy,10,1,Train,90
fraudkAllResults.csv,IS,hyperplanes-projection,drop3,2,1,Test,90
fraudkAllResults.csv,IS,hyperplanes-projection,drop3,2,1,Train,90
fraudkAllResults.csv,IS,hyperplanes-projection,drop3,4,1,Test,90
fraudkAllResults.csv,IS,hyperplanes-projection,drop3,4,1,Train,90
fraudkAllResults.csv,IS,hyperplanes-projection,drop3,6,1,Test,98
fraudkAllResults.csv,IS,hyperplanes-projection,drop3,6,1,Train,98
fraudkAllResults.csv,IS,hyperplanes-projection,drop3,8,1,Test,111
fraudkAllResults.csv,IS,hyperplanes-projection,drop3,8,1,Train,111
fraudkAllResults.csv,IS,hyperplanes-projection,drop3,10,1,Test,90
fraudkAllResults.csv,IS,hyperplanes-projection,drop3,10,1,Train,90
fraudkAllResults.csv,IS,hyperplanes-projection,entropy,2,1,Test,90
fraudkAllResults.csv,IS,hyperplanes-projection,entropy,2,1,Train,90
fraudkAllResults.csv,IS,hyperplanes-projection,entropy,4,1,Test,90
fraudkAllResults.csv,IS,hyperplanes-projection,entropy,4,1,Train,90
fraudkAllResults.csv,IS,hyperplanes-projection,entropy,6,1,Test,90
fraudkAllResults.csv,IS,hyperplanes-projection,entropy,6,1,Train,90
fraudkAllResults.csv,IS,hyperplanes-projection,entropy,8,1,Test,90
fraudkAllResults.csv,IS,hyperplanes-projection,entropy,8,1,Train,90
fraudkAllResults.csv,IS,hyperplanes-projection,entropy,10,1,Test,90
fraudkAllResults.csv,IS,hyperplanes-projection,entropy,10,1,Train,90
fraudkAllResults.csv,IS,projection,drop3,2,1,Test,90
fraudkAllResults.csv,IS,projection,drop3,2,1,Train,90
fraudkAllResults.csv,IS,projection,drop3,4,1,Test,90
fraudkAllResults.csv,IS,projection,drop3,4,1,Train,90
fraudkAllResults.csv,IS,projection,drop3,6,1,Test,102
fraudkAllResults.csv,IS,projection,drop3,6,1,Train,102
fraudkAllResults.csv,IS,projection,drop3,8,1,Test,114
fraudkAllResults.csv,IS,projection,drop3,8,1,Train,114
fraudkAllResults.csv,IS,projection,drop3,10,1,Test,90
fraudkAllResults.csv,IS,projection,drop3,10,1,Train,90
fraudkAllResults.csv,IS,projection,entropy,2,1,Test,90
fraudkAllResults.csv,IS,projection,entropy,2,1,Train,90
fraudkAllResults.csv,IS,projection,entropy,4,1,Test,90
fraudkAllResults.csv,IS,projection,entropy,4,1,Train,90
fraudkAllResults.csv,IS,projection,entropy,6,1,Test,90
fraudkAllResults.csv,IS,projection,entropy,6,1,Train,90
fraudkAllResults.csv,IS,projection,entropy,8,1,Test,90
fraudkAllResults.csv,IS,projection,entropy,8,1,Train,90
fraudkAllResults.csv,IS,projection,entropy,10,1,Test,90
fraudkAllResults.csv,IS,projection,entropy,10,1,Train,90
p2pAllResults.csv,IS,hyperplanes,entropy,2,1,Test,45
p2pAllResults.csv,IS,hyperplanes,entropy,2,1,Train,45
p2pAllResults.csv,IS,hyperplanes,entropy,4,1,Test,45
p2pAllResults.csv,IS,hyperplanes,entropy,4,1,Train,45
p2pAllResults.csv,IS,hyperplanes,entropy,6,1,Test,45
p2pAllResults.csv,IS,hyperplanes,entropy,6,1,Train,45
p2pAllResults.csv,IS,hyperplanes,entropy,8,1,Test,45
p2pAllResults.csv,IS,hyperplanes,entropy,8,1,Train,45
p2pAllResults.csv,IS,hyperplanes,entropy,10,1,Test,43
p2pAllResults.csv,IS,hyperplanes,entropy,10,1,Train,43
p2pAllResults.csv,IS,hyperplanes-projection,entropy,2,1,Test,45
p2pAllResults.csv,IS,hyperplanes-projection,entropy,2,1,Train,45
p2pAllResults.csv,IS,hyperplanes-projection,entropy,4,1,Test,45
p2pAllResults.csv,IS,hyperplanes-projection,entropy,4,1,Train,45
p2pAllResults.csv,IS,hyperplanes-projection,entropy,6,1,Test,45
p2pAllResults.csv,IS,hyperplanes-projection,entropy,6,1,Train,45
p2pAllResults.csv,IS,hyperplanes-projection,entropy,8,1,Test,45
p2pAllResults.csv,IS,hyperplanes-projection,entropy,8,1,Train,45
p2pAllResults.csv,IS,hyperplanes-projection,entropy,10,1,Test,36
p2pAllResults.csv,IS,hyperplanes-projection,entropy,10,1,Train,36
p2pAllResults.csv,IS,projection,entropy,2,1,Test,45
p2pAllResults.csv,IS,projection,entropy,2,1,Train,45
p2pAllResults.csv,IS,projection,entropy,4,1,Test,45
p2pAllResults.csv,IS,projection,entropy,4,1,Train,45
p2pAllResults.csv,IS,projection,entropy,6,1,Test,45
p2pAllResults.csv,IS,projection,entropy,6,1,Train,45
p2pAllResults.csv,IS,projection,entropy,8,1,Test,45
p2pAllResults.csv,IS,projection,entropy,8,1,Train,45
p2pAllResults.csv,IS,projection,entropy,10,1,Test,36
p2pAllResults.csv,IS,projection,entropy,10,1,Train,36
pageblocksAllResults.csv,IS,hyperplanes,drop3,2,1,Test,90
pageblocksAllResults.csv,IS,hyperplanes,drop3,2,1,Train,90
pageblocksAllResults.csv,IS,hyperplanes,drop3,4,1,Test,90
pageblocksAllResults.csv,IS,hyperplanes,drop3,4,1,Train,90
pageblocksAllResults.csv,IS,hyperplanes,drop3,6,1,Test,90
pageblocksAllResults.csv,IS,hyperplanes,drop3,6,1,Train,90
pageblocksAllResults.csv,IS,hyperplanes,drop3,8,1,Test,90
pageblocksAllResults.csv,IS,hyperplanes,drop3,8,1,Train,90
pageblocksAllResults.csv,IS,hyperplanes,drop3,10,1,Test,90
pageblocksAllResults.csv,IS,hyperplanes,drop3,10,1,Train,90
pageblocksAllResults.csv,IS,hyperplanes,entropy,2,1,Test,90
pageblocksAllResults.csv,IS,hyperplanes,entropy,2,1,Train,90
pageblocksAllResults.csv,IS,hyperplanes,entropy,4,1,Test,90
pageblocksAllResults.csv,IS,hyperplanes,entropy,4,1,Train,90
pageblocksAllResults.csv,IS,hyperplanes,entropy,6,1,Test,90
pageblocksAllResults.csv,IS,hyperplanes,entropy,6,1,Train,90
pageblocksAllResults.csv,IS,hyperplanes,entropy,8,1,Test,90
pageblocksAllResults.csv,IS,hyperplanes,entropy,8,1,Train,90
pageblocksAllResults.csv,IS,hyperplanes,entropy,10,1,Test,90
pageblocksAllResults.csv,IS,hyperplanes,entropy,10,1,Train,90
pageblocksAllResults.csv,IS,hyperplanes-projection,drop3,2,1,Test,90
pageblocksAllResults.csv,IS,hyperplanes-projection,drop3,2,1,Train,90
pageblocksAllResults.csv,IS,hyperplanes-projection,drop3,4,1,Test,90
pageblocksAllResults.csv,IS,hyperplanes-projection,drop3,4,1,Train,90
pageblocksAllResults.csv,IS,hyperplanes-projection,drop3,6,1,Test,90
pageblocksAllResults.csv,IS,hyperplanes-projection,drop3,6,1,Train,90
pageblocksAllResults.csv,IS,hyperplanes-projection,drop3,8,1,Test,90
pageblocksAllResults.csv,IS,hyperplanes-projection,drop3,8,1,Train,90
pageblocksAllResults.csv,IS,hyperplanes-projection,drop3,10,1,Test,90
pageblocksAllResults.csv,IS,hyperplanes-projection,drop3,10,1,Train,90
pageblocksAllResults.csv,IS,hyperplanes-projection,entropy,2,1,Test,90
pageblocksAllResults.csv,IS,hyperplanes-projection,entropy,2,1,Train,90
pageblocksAllResults.csv,IS,hyperplanes-projection,entropy,4,1,Test,90
pageblocksAllResults.csv,IS,hyperplanes-projection,entropy,4,1,Train,90
pageblocksAllResults.csv,IS,hyperplanes-projection,entropy,6,1,Test,90
pageblocksAllResults.csv,IS,hyperplanes-projection,entropy,6,1,Train,90
pageblocksAllResults.csv,IS,hyperplanes-projection,entropy,8,1,Test,90
pageblocksAllResults.csv,IS,hyperplanes-projection,entropy,8,1,Train,90
pageblocksAllResults.csv,IS,hyperplanes-projection,entropy,10,1,Test,90
pageblocksAllResults.csv,IS,hyperplanes-projection,entropy,10,1,Train,90
pageblocksAllResults.csv,IS,projection,drop3,2,1,Test,90
pageblocksAllResults.csv,IS,projection,drop3,2,1,Train,90
pageblocksAllResults.csv,IS,projection,drop3,4,1,Test,90
pageblocksAllResults.csv,IS,projection,drop3,4,1,Train,90
pageblocksAllResults.csv,IS,projection,drop3,6,1,Test,90
pageblocksAllResults.csv,IS,projection,drop3,6,1,Train,90
pageblocksAllResults.csv,IS,projection,drop3,8,1,Test,90
pageblocksAllResults.csv,IS,projection,drop3,8,1,Train,90
pageblocksAllResults.csv,IS,projection,drop3,10,1,Test,90
pageblocksAllResults.csv,IS,projection,drop3,10,1,Train,90
pageblocksAllResults.csv,IS,projection,entropy,2,1,Test,90
pageblocksAllResults.csv,IS,projection,entropy,2,1,Train,90
pageblocksAllResults.csv,IS,projection,entropy,4,1,Test,90
pageblocksAllResults.csv,IS,projection,entropy,4,1,Train,90
pageblocksAllResults.csv,IS,projection,entropy,6,1,Test,90
pageblocksAllResults.csv,IS,projection,entropy,6,1,Train,90
pageblocksAllResults.csv,IS,projection,entropy,8,1,Test,90
pageblocksAllResults.csv,IS,projection,entropy,8,1,Train,90
pageblocksAllResults.csv,IS,projection,entropy,10,1,Test,90
pageblocksAllResults.csv,IS,projection,entropy,10,1,Train,90
susyAllResults.csv,IS,hyperplanes,entropy,2,1,Test,57
susyAllResults.csv,IS,hyperplanes,entropy,2,1,Train,57
susyAllResults.csv,IS,hyperplanes,entropy,4,1,Test,45
susyAllResults.csv,IS,hyperplanes,entropy,4,1,Train,45
susyAllResults.csv,IS,hyperplanes,entropy,6,1,Test,45
susyAllResults.csv,IS,hyperplanes,entropy,6,1,Train,45
susyAllResults.csv,IS,hyperplanes,entropy,8,1,Test,45
susyAllResults.csv,IS,hyperplanes,entropy,8,1,Train,45
susyAllResults.csv,IS,hyperplanes,entropy,10,1,Test,45
susyAllResults.csv,IS,hyperplanes,entropy,10,1,Train,45
susyAllResults.csv,IS,hyperplanes-projection,entropy,2,1,Test,45
susyAllResults.csv,IS,hyperplanes-projection,entropy,2,1,Train,45
susyAllResults.csv,IS,hyperplanes-projection,entropy,4,1,Test,45
susyAllResults.csv,IS,hyperplanes-projection,entropy,4,1,Train,45
susyAllResults.csv,IS,hyperplanes-projection,entropy,6,1,Test,45
susyAllResults.csv,IS,hyperplanes-projection,entropy,6,1,Train,45
susyAllResults.csv,IS,hyperplanes-projection,entropy,8,1,Test,45
susyAllResults.csv,IS,hyperplanes-projection,entropy,8,1,Train,45
susyAllResults.csv,IS,hyperplanes-projection,entropy,10,1,Test,45
susyAllResults.csv,IS,hyperplanes-projection,entropy,10,1,Train,45
susyAllResults.csv,IS,projection,entropy,2,1,Test,45
susyAllResults.csv,IS,projection,entropy,2,1,Train,45
susyAllResults.csv,IS,projection,entropy,4,1,Test,45
susyAllResults.csv,IS,projection,entropy,4,1,Train,45
susyAllResults.csv,IS,projection,entropy,6,1,Test,45
susyAllResults.csv,IS,projection,entropy,6,1,Train,45
susyAllResults.csv,IS,projection,entropy,8,1,Test,45
susyAllResults.csv,IS,projection,entropy,8,1,Train,45
susyAllResults.csv,IS,projection,entropy,10,1,Test,45
susyAllResults.csv,IS,projection,entropy,10,1,Train,45
